exercicio,instituicao,cod_ibge,uf,anexo,rotulo,coluna,cod_conta,conta,valor,populacao,ano
2020,Prefeitura Municipal de Sorocaba - SP,3552205,SP,DCA-Anexo I-AB,Padrão,31/12/2020,P2.2.7.0.0.00.00,2.2.7.0.0.00.00 - Provisões a Longo Prazo,1661126968.99,679378,2020
2020,Prefeitura Municipal de Sorocaba - SP,3552205,SP,DCA-Anexo I-AB,Padrão,31/12/2020,P2.2.7.1.0.00.00,2.2.7.1.0.00.00 - Provisão para Riscos Trabalhistas a Longo Prazo,5052946.13,679378,2020
2020,Prefeitura Municipal de Sorocaba - SP,3552205,SP,DCA-Anexo I-AB,Padrão,31/12/2020,P2.2.7.1.1.00.00,2.2.7.1.1.00.00 - Provisão para Riscos Trabalhistas a Longo Prazo - Consolidação,5052946.13,679378,2020
2020,Prefeitura Municipal de Sorocaba - SP,3552205,SP,DCA-Anexo I-AB,Padrão,31/12/2020,P2.2.7.2.0.00.00,2.2.7.2.0.00.00 - Provisões Matemáticas Previdenciárias a Longo Prazo,1656074022.86,679378,2020
2020,Prefeitura Municipal de Sorocaba - SP,3552205,SP,DCA-Anexo I-AB,Padrão,31/12/2020,P2.2.7.2.1.00.00,2.2.7.2.1.00.00 - Provisões Matemáticas Previdenciárias a Longo Prazo - Consolidação,1656074022.86,679378,2020
2020,Prefeitura Municipal de Sorocaba - SP,3552205,SP,DCA-Anexo I-AB,Padrão,31/12/2020,P2.2.7.2.1.02.00,2.2.7.2.1.02.00 - Plano Financeiro - Provisões de Benefícios a Conceder,622860327.41,679378,2020
2020,Prefeitura Municipal de Sorocaba - SP,3552205,SP,DCA-Anexo I-AB,Padrão,31/12/2020,P2.2.7.2.1.03.00,2.2.7.2.1.03.00 - Plano Previdenciário - Provisões de Benefícios Concedidos,95685643.55,679378,2020
2020,Prefeitura Municipal de Sorocaba - SP,3552205,SP,DCA-Anexo I-AB,Padrão,31/12/2020,P2.2.7.2.1.04.00,2.2.7.2.1.04.00 - Plano Previdenciário - Provisões de Benefícios a Conceder,742735166.55,679378,2020
2020,Prefeitura Municipal de Sorocaba - SP,3552205,SP,DCA-Anexo I-AB,Padrão,31/12/2020,P2.2.7.2.1.07.00,2.2.7.2.1.07.00 - Provisões Atuariais para Ajustes do Plano Previdenciário,194792885.35,679378,2020
2020,Prefeitura Municipal de Sorocaba - SP,3552205,SP,DCA-Anexo I-AB,Padrão,31/12/2020,P2.2.8.0.0.00.00,2.2.8.0.0.00.00 - Demais Obrigações a Longo Prazo,26051575.85,679378,2020
2020,Prefeitura Municipal de Sorocaba - SP,3552205,SP,DCA-Anexo I-AB,Padrão,31/12/2020,P2.2.8.2.0.00.00,2.2.8.2.0.00.00 - Obrigações por Danos a Terceiros a Longo Prazo,22761694.51,679378,2020
2020,Prefeitura Municipal de Sorocaba - SP,3552205,SP,DCA-Anexo I-AB,Padrão,31/12/2020,P2.2.8.2.1.00.00,2.2.8.2.1.00.00 - Obrigações por Danos a Terceiros a Longo Prazo - Consolidação,22761694.51,679378,2020
2020,Prefeitura Municipal de Sorocaba - SP,3552205,SP,DCA-Anexo I-AB,Padrão,31/12/2020,P2.2.8.9.0.00.00,2.2.8.9.0.00.00 - Outras Obrigações a Longo Prazo,3289881.34,679378,2020
2020,Prefeitura Municipal de Sorocaba - SP,3552205,SP,DCA-Anexo I-AB,Padrão,31/12/2020,P2.2.8.9.1.00.00,2.2.8.9.1.00.00 - Outras Obrigações a Longo Prazo - Consolidação,3289881.34,679378,2020
2020,Prefeitura Municipal de Sorocaba - SP,3552205,SP,DCA-Anexo I-AB,Padrão,31/12/2020,P2.3.0.0.0.00.00,2.3.0.0.0.00.00 - Patrimônio Liquido,3488185718.69,679378,2020
