arquivo,ano,categoria,paginas,chars,tem_texto,fonte
balanco_previdenciario_2022_11_11_balanco_prevnov22.pdf,2022,balanco_previdenciario,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2022_12_12_balanco_prevdez22.pdf,2022,balanco_previdenciario,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2023_01_01_balanco_prevjan23.pdf,2023,balanco_previdenciario,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2023_02_02_balanco_prevfev23.pdf,2023,balanco_previdenciario,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2023_03_03_balanco_prevmar23.pdf,2023,balanco_previdenciario,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2023_04_04_balanco_prevabr23.pdf,2023,balanco_previdenciario,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2023_05_05_balanco_prevmai23.pdf,2023,balanco_previdenciario,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2023_06_06_balanco_prevjun23.pdf,2023,balanco_previdenciario,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2023_07_07_balanco_prevjul23.pdf,2023,balanco_previdenciario,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2023_08_08_balanco_prevago23.pdf,2023,balanco_previdenciario,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2023_09_09_balanco_prevset23.pdf,2023,balanco_previdenciario,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2023_10_10_balanco_prevout23.pdf,2023,balanco_previdenciario,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2023_11_11_balanco_prevnov23.pdf,2023,balanco_previdenciario,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2023_12_12_balanco_prevdez23.pdf,2023,balanco_previdenciario,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2024_01_01_balanco_prevjan24.pdf,2024,balanco_previdenciario,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2024_02_02_balanco_prevfev24.pdf,2024,balanco_previdenciario,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2024_03_03_balanco_prevmar24.pdf,2024,balanco_previdenciario,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2024_04_04_balanco_prevabr24.pdf,2024,balanco_previdenciario,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2024_05_05_balanco_prevmai24.pdf,2024,balanco_previdenciario,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2024_06_06_balanco_prevjun24.pdf,2024,balanco_previdenciario,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2024_07_07_balanco_prevjul24.pdf,2024,balanco_previdenciario,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2024_08_08_balanco_prevago24.pdf,2024,balanco_previdenciario,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2024_09_09_balanco_prevset24.pdf,2024,balanco_previdenciario,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2024_10_10_balanco_prevout24.pdf,2024,balanco_previdenciario,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2024_11_11_balanco_prevnov24.pdf,2024,balanco_previdenciario,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2024_12_12_balanco_prevdez24.pdf,2024,balanco_previdenciario,,1,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2025_01_01_balanco_prevjan25.pdf,2025,balanco_previdenciario,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2025_02_02_balanco_prevfev25.pdf,2025,balanco_previdenciario,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2025_03_03_balanco_prevmar25.pdf,2025,balanco_previdenciario,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
