arquivo,ano,categoria,paginas,chars,tem_texto,fonte
balanco_saude_2023_10_10_balanco_sauout23.pdf,2023,balanco_saude,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2023_11_11_balanco_saunov23.pdf,2023,balanco_saude,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2023_12_12_balanco_saudez23.pdf,2023,balanco_saude,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2024_01_01_balanco_saujan24.pdf,2024,balanco_saude,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2024_02_02_balanco_saufev24.pdf,2024,balanco_saude,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2024_03_03_balanco_saumar24.pdf,2024,balanco_saude,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2024_04_04_balanco_sauabr24.pdf,2024,balanco_saude,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2024_05_05_balanco_saumai24.pdf,2024,balanco_saude,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2024_06_06_balanco_saujun24.pdf,2024,balanco_saude,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2024_07_07_balanco_saujul24.pdf,2024,balanco_saude,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2024_08_08_balanco_sauago24.pdf,2024,balanco_saude,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2024_09_09_balanco_sauset24.pdf,2024,balanco_saude,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2024_10_10_balanco_sauout24.pdf,2024,balanco_saude,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2024_11_11_balanco_saunov24.pdf,2024,balanco_saude,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2024_12_12_balanco_saudez24.pdf,2024,balanco_saude,,1,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2025_01_01_balanco_saujan25.pdf,2025,balanco_saude,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2025_02_02_balanco_saufev25.pdf,2025,balanco_saude,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2025_03_03_balanco_saumar25.pdf,2025,balanco_saude,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2025_04_04_balanco_sauabr25.pdf,2025,balanco_saude,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2025_05_05_balanco_saumai25.pdf,2025,balanco_saude,,7911,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2025_06_06_balanco_saujun25.pdf,2025,balanco_saude,,7929,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2025_07_07_balanco_saujul25.pdf,2025,balanco_saude,,8067,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2025_08_08_balanco_sauago25.pdf,2025,balanco_saude,,8090,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2025_09_09_balanco_sauset25.pdf,2025,balanco_saude,,8063,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2025_10_10_balanco_sauout25.pdf,2025,balanco_saude,,8082,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2025_11_11_balanco_saunov25.pdf,2025,balanco_saude,,8063,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2025_12_12_balanco_saudez25.pdf,2025,balanco_saude,,8110,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2025_anual_balanco_saude.pdf,2025,balanco_saude,,5996,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
