obra_id,contrato,cpl,objeto,secretaria,empresa_contratada,cnpj,cnpj_valido,valor_contrato,percentual_concluido,status,financiadora,previsao_conclusao,quantidade,logradouro,bairro,municipio,uf,cep
57,500/2025,173/2024,"implantação de playground e academia ao ar livre na área exerna do ginásio municipal ""gualberto moreira"".",SERPO - Secretaria de Serviços Públicos e Obras,"W2 MANUTENÇÕES, CONSTRUÇÕES E REFORMAS",07335981000177,1,"176000,00","100,00%",Ativo,Emenda Impositiva,2025-05-26,0.00 m²,Rua José Martins,Vila Hortência,Sorocaba,SP,18020-214
58,788/2024,109/2024,grupo 1 - incremento às ações de urbanização em áreas públicas no bairro jardim são guilherme - emenda parlamentar nº 208.,SERPO - Secretaria de Serviços Públicos e Obras,DCA ENGENHARIA E CONSTRUÇÕES EIRELI,14634377000107,1,"68689,86","0,00%",Ativo,Emenda Impositiva,2025-07-03,0.00 m²,Rua Theodora Constantino Duarte,Atílio Silvano,Sorocaba,SP,18074-510
59,754/2024,086/2024,"revitalização de áreas púbicas com implantação de infraestrutura para feira livre, ampliação de área de lazer e impantação de pista de caminhada com iluminação pública em led no jardim guaíba.",SERPO - Secretaria de Serviços Públicos e Obras,RAMON AGULERA PARTICIPAÇÕES E EMPREENDIMENTOS LTDA,11823795000154,1,"294000,00","49,29%",Ativo,Emenda Impositiva,2025-09-11,0.00 m²,Rua Benedita Conceição Gomes Perbelini,Jd. Guaíba,,,18077-100
60,760/2024,161/2024,implantação de área de parkour na pista de caminhada do campolim,SERPO - Secretaria de Serviços Públicos e Obras,VIVA CONSTRUÇÕES E SERVIÇOS LTDA,08756015000196,1,"82700,00","99,99%",Ativo,Emenda Impositiva,2025-08-30,0.00 m²,Avenida Domingos Julio,Pq Campolim,,,18047-645
61,501/2025,328/2024,"implantação de playground, academia ao ar livre e iluminação led no jd santa luiza.",SERPO - Secretaria de Serviços Públicos e Obras,"W2 MANUTENÇÕES, CONSTRUÇÕES E REFORMAS",07335981000177,1,"129500,00","100,00%",Ativo,Emenda Impositiva,2025-08-18,0.00 m²,Rua Marco Antonio Laino,Jd. Santa Luiza,,,18078-280
62,640/2025,29/2025,construção de uma unidade básica de saúde tipo iv no bairro central parque.,SES - Secretaria da Saúde,VIGENT CONSTRUÇÕES LTDA,15320722000109,1,"5391369,00","39,50%",Ativo,RECURSO FEDERAL,2026-10-01,0.00 m²,RUA Nicolau Elias Tibechereny,Central Parque,Sorocaba,SP,18051-060
63,622/2025,30/2025,construção de uma unidade básica de saúde tipo iv no bairro são conrado.,SES - Secretaria da Saúde,DAMO ENGENHARIA E CONSTRUÇÕES LTDA,01770334000107,1,"5391369,00","40,70%",Ativo,RECURSO FEDERAL,2026-08-07,0.00 m²,Rua Arthur Cagliari,São Conrado,Sorocaba,SP,18076-210
64,831/2024,160/2024,construção de quadra de basquete no jardim iguatemi.,SERPO - Secretaria de Serviços Públicos e Obras,DCA ENGENHARIA E CONSTRUÇÕES EIRELI,14634377000107,1,"98000,00","100,00%",Ativo,Emenda Impositiva,2025-07-18,0.00 m²,Rua Avaré,Jd. Iguatemi,Sorocaba,SP,18085-345
65,789/2024,109/2024,grupos 2 e 3 - incremento às ações de urbanização em áreas públicas no barirro jardim são guilherme - emendas parlamentares nº 208 e 572.,SERPO - Secretaria de Serviços Públicos e Obras,VIVA CONSTRUÇÕES E SERVIÇOS LTDA,08756015000196,1,"187000,00","25,48%",Ativo,Emenda Impositiva,2025-08-31,0.00 m²,Rua Antonio Piantore,Jd. São Guilhe,Sorocaba,SP,18074-510
66,780/2024,088/2024,implantação de passeio e iluminação pública - vila hortencia.,SERPO - Secretaria de Serviços Públicos e Obras,DCA ENGENHARIA E CONSTRUÇÕES LTDA,14634377000107,1,"119999,99","100,00%",Ativo,Emenda Impositiva,2025-08-04,0.00 m²,Rua Antonio Silva de Oliveira,Vila Hortência,,,18020-150
67,348/2023,548/2021,"pavimentação, drenagem, ciclovia, iluminação, requalificação de vias e implantação de equipamentos e paisagismo pertencentes à obra denominada trecho ii da marginal itanguá - sorocaba (financiamento internacional).","CADI - Centro de Aceleração, Desenvolvimento e Inovação",CASAMAX COMERCIAL E SERVIÇOS LTDA,08183516000120,1,"81240482,73","13,23%",Ativo,CAF,2027-01-25,4000.00 m,Avenida Santa Cruz,Jardim Vera Cruz,Sorocaba,SP,18050-260
68,13/2024,052/2023,"implantação de pavimento, drenagem e requalificação viária pertencentes à obra denominada marginal direita do rio sorocaba (financiamento internacional)",SEAD - Secretaria de Administração,FORTNORT DESENVOLVIMENTO AMBIENTAL E URBANO LTDA,00900846000188,1,"16719598,13","0,00%",Ativo,CAF,2027-05-24,1800.00 m,Avenida Dom Aguirre,Jardim Santa Rosália,Sorocaba,SP,18090-002
69,014/2023,052/2023,"implantação de pavimento, drenagem e requalificação viária pertencentes à obra denominada marginal direita  do rio sorocaba (financiamento internacional)",SEAD - Secretaria de Administração,AUDITERRA TERRAPLENAGEM LTDA,58994138000133,1,"16719598,13","0,00%",Ativo,CAF,2027-05-24,1800.00 m²,Avenida Dom Aguirre,Jardim Santa Rosália,Sorocaba,SP,18090-002
